Time	Day of Week	Probe speed 	Probe flow 1	TPM speed 	TPM flow 	Sensor speed 	Sensor flow 
1/7/2019 0:00	1	70.10	37	75.75	23	75.48	25
1/7/2019 0:05	1	70.10	37	75.75	20	78.35	18
1/7/2019 0:10	1	70.80	37	75.70	28	75.85	30
1/7/2019 0:15	1	74.00	34	74.45	34	73.25	36
1/7/2019 0:20	1	71.00	34	76.02	21	74.98	19
1/7/2019 0:25	1	70.80	34	76.87	23	74.18	21
1/7/2019 0:30	1	70.70	30	76.33	24	73.98	26
1/7/2019 0:35	1	70.70	30	79.04	24	71.75	22
1/7/2019 0:40	1	71.20	30	78.53	22	78.05	24
1/7/2019 0:45	1	70.90	27	75.16	35	73.90	33
1/7/2019 0:50	1	70.70	27	74.09	38	72.58	36
1/7/2019 0:55	1	69.40	27	74.58	22	71.60	24
1/7/2019 1:00	1	68.90	25	73.69	27	62.88	25
1/7/2019 1:05	1	68.90	25	73.44	22	71.33	23
1/7/2019 1:10	1	69.00	25	71.51	24	73.78	22
1/7/2019 1:15	1	69.00	23	68.03	25	72.13	23
1/7/2019 1:20	1	69.00	23	69.07	36	70.30	37
1/7/2019 1:25	1	69.70	23	71.88	22	73.18	20
1/7/2019 1:30	1	69.60	21	73.35	22	71.70	20
1/7/2019 1:35	1	66.60	21	72.50	22	73.25	21
1/7/2019 1:40	1	67.10	21	72.22	36	72.18	37
1/7/2019 1:45	1	68.60	21	74.07	36	72.20	35
1/7/2019 1:50	1	68.70	21	73.73	28	72.08	27
1/7/2019 1:55	1	68.70	21	72.17	21	72.58	19
1/7/2019 2:00	1	68.70	21	71.14	24	72.78	23
1/7/2019 2:05	1	68.90	21	69.79	25	69.83	26
1/7/2019 2:10	1	69.60	21	70.03	35	69.53	34
1/7/2019 2:15	1	69.60	21	70.29	31	66.13	30
1/7/2019 2:20	1	69.60	21	68.10	27	68.00	26
1/7/2019 2:25	1	69.60	21	68.71	25	70.75	25
1/7/2019 2:30	1	68.50	21	69.48	35	69.05	35
1/7/2019 2:35	1	66.50	21	71.35	37	64.70	35
1/7/2019 2:40	1	66.50	21	72.52	36	63.28	34
1/7/2019 2:45	1	66.50	21	71.09	5	57.75	9
1/7/2019 2:50	1	66.50	21	68.45	12	61.38	18
1/7/2019 2:55	1	66.50	21	65.64	25	63.58	30
1/7/2019 3:00	1	67.70	21	63.52	25	62.18	27
1/7/2019 3:05	1	69.60	21	62.56	15	62.43	29
1/7/2019 3:10	1	68.30	21	62.40	12	64.75	45
1/7/2019 3:15	1	66.80	23	61.54	11	67.30	20
1/7/2019 3:20	1	66.80	23	61.10	11	67.35	23
1/7/2019 3:25	1	63.90	23	62.74	13	64.80	35
1/7/2019 3:30	1	63.20	27	65.41	12	63.80	42
1/7/2019 3:35	1	63.40	27	65.62	11	61.38	36
1/7/2019 3:40	1	67.10	27	64.87	14	67.38	36
1/7/2019 3:45	1	71.60	30	64.27	15	72.10	47
1/7/2019 3:50	1	71.40	30	62.61	14	69.23	35
1/7/2019 3:55	1	70.90	30	63.69	19	70.35	48
1/7/2019 4:00	1	70.80	35	65.22	26	71.80	33
1/7/2019 4:05	1	70.80	35	64.87	24	70.35	39
1/7/2019 4:10	1	69.90	35	65.43	28	70.75	43
1/7/2019 4:15	1	69.60	46	65.77	28	70.68	43
