Time	Day of Week	Probe speed 	Probe flow 1	TPM speed 	TPM flow 	Sensor speed 	Sensor flow 
1/7/2019 0:00	1	69.20	132	75.79	63	70.75	64
1/7/2019 0:05	1	70.80	132	75.79	70	72.80	72
1/7/2019 0:10	1	71.80	132	75.76	45	75.30	47
1/7/2019 0:15	1	64.50	114	75.74	43	73.80	44
1/7/2019 0:20	1	59.60	114	75.72	42	72.33	43
1/7/2019 0:25	1	52.80	114	75.70	47	72.85	49
1/7/2019 0:30	1	59.90	100	75.68	45	69.83	47
1/7/2019 0:35	1	67.60	100	75.66	43	71.70	44
1/7/2019 0:40	1	67.60	100	75.64	51	75.18	53
1/7/2019 0:45	1	67.40	87	75.26	36	73.90	38
1/7/2019 0:50	1	64.50	87	74.84	35	73.00	37
1/7/2019 0:55	1	64.40	87	74.40	27	72.13	28
1/7/2019 1:00	1	64.80	77	74.15	32	70.80	33
1/7/2019 1:05	1	64.90	77	73.50	38	73.98	40
1/7/2019 1:10	1	65.20	77	73.02	25	71.28	24
1/7/2019 1:15	1	65.30	73	72.94	31	73.30	32
1/7/2019 1:20	1	65.10	73	73.23	35	70.95	35
1/7/2019 1:25	1	65.10	73	73.73	23	72.28	25
1/7/2019 1:30	1	60.90	68	74.27	43	69.20	36
1/7/2019 1:35	1	66.40	68	74.25	37	69.43	16
1/7/2019 1:40	1	65.50	68	73.96	33	69.23	26
1/7/2019 1:45	1	63.70	64	73.29	31	68.13	28
1/7/2019 1:50	1	64.10	64	73.19	33	70.63	20
1/7/2019 1:55	1	64.50	64	73.33	32	67.83	27
1/7/2019 2:00	1	64.80	59	73.53	31	64.33	20
1/7/2019 2:05	1	66.70	59	73.35	29	62.75	35
1/7/2019 2:10	1	62.50	59	72.84	26	55.18	25
1/7/2019 2:15	1	46.30	55	72.34	25	52.43	22
1/7/2019 2:20	1	44.80	55	72.23	24	58.95	28
1/7/2019 2:25	1	44.80	55	71.38	21	55.80	21
1/7/2019 2:30	1	44.80	55	70.70	21	60.55	28
1/7/2019 2:35	1	47.90	55	69.92	20	57.00	20
1/7/2019 2:40	1	50.10	55	68.94	19	61.05	27
1/7/2019 2:45	1	68.10	50	68.00	19	60.48	31
1/7/2019 2:50	1	70.70	50	67.38	19	57.35	27
1/7/2019 2:55	1	70.70	50	66.41	19	47.18	16
1/7/2019 3:00	1	65.00	50	65.33	18	57.88	25
1/7/2019 3:05	1	63.10	50	64.50	18	56.58	31
1/7/2019 3:10	1	65.80	50	63.99	19	55.98	27
1/7/2019 3:15	1	61.20	50	63.68	19	50.95	25
1/7/2019 3:20	1	61.30	50	63.49	19	55.13	53
1/7/2019 3:25	1	48.30	50	63.11	18	59.15	37
1/7/2019 3:30	1	56.10	55	62.62	18	59.75	47
1/7/2019 3:35	1	57.80	55	61.95	17	60.23	37
1/7/2019 3:40	1	59.50	55	61.21	17	61.60	27
1/7/2019 3:45	1	59.80	59	60.62	17	58.43	26
1/7/2019 3:50	1	56.80	59	60.30	18	55.43	67
1/7/2019 3:55	1	48.50	59	60.17	19	60.78	67
1/7/2019 4:00	1	56.70	64	60.11	20	60.98	54
1/7/2019 4:05	1	58.50	64	60.02	21	64.73	38
1/7/2019 4:10	1	60.00	64	59.90	23	66.55	54
1/7/2019 4:15	1	58.40	82	59.79	26	64.23	77
1/7/2019 4:20	1	65.40	82	59.68	28	64.38	84
1/7/2019 4:25	1	59.60	82	59.61	29	62.48	81
